"Customer Shipment Date","Merchant SKU","FNSKU","ASIN","FC","Quantity","Amazon Order Id","Currency","Product Amount","Shipping Amount","Gift Amount","Shipment To City","Shipment To State","Shipment To Postal Code"
"2024-04-27T17:12:22+05:30","1K-FDUR-VSJX","X0013JH1VB","1949395243","HYD8","1","408-2911516-5665164","INR","474.05","40.00","0.00","NEW DELHI","DELHI","110075"
"2024-04-27T16:44:09+05:30","15-KVM1-4SWU","X00176YALT","1949395774","MAA4","1","405-8324054-1597910","INR","474.05","0.00","0.00","CHITTOOR","ANDHRA PRADESH","517129"
"2024-04-27T16:37:16+05:30","1T-VT5B-1S8D","X001QW0E1T","1636511597","AMD2","1","408-2718662-8773146","INR","616.55","40.00","0.00","MUMBAI","MAHARASHTRA","400088"
"2024-04-27T14:27:07+05:30","NG-I25C-U2FD","X001M2XYDD","1636511007","TQBF","1","407-0358474-9642721","INR","399.00","40.00","0.00","KALYAN","MAHARASHTRA","421204"
"2024-04-27T14:27:07+05:30","BT-ZM1Q-U1KE","X001P5GZZV","1636511546","TQBF","1","407-0358474-9642721","INR","474.05","40.00","0.00","KALYAN","MAHARASHTRA","421204"
"2024-04-27T14:27:07+05:30","1K-FDUR-VSJX","X0013JH1VB","1949395243","TQBF","1","407-0358474-9642721","INR","474.05","40.00","0.00","KALYAN","MAHARASHTRA","421204"
"2024-04-27T14:27:07+05:30","95-6EZS-0F5O","X001M2Z3CX","1636511031","TQBF","1","407-0358474-9642721","INR","399.00","40.00","0.00","KALYAN","MAHARASHTRA","421204"
"2024-04-27T14:27:06+05:30","F2-PSHW-51ZG","X0017F13Q5","1949395901","TQBF","1","402-7290639-6047539","INR","399.00","0.00","0.00","NEW DELHI","DELHI","110024"
"2024-04-27T14:27:04+05:30","SQ-GG71-Y57X","X001VKOO49","B0CGL7W1QT","TQBF","1","171-2992921-1888338","INR","599.00","40.00","0.00","NEW DELHI","DELHI","110008"
"2024-04-27T14:27:03+05:30","36-RZEH-OHYB","X000W5N495","1949395022","TQBF","1","407-3507406-2710754","INR","399.00","40.00","0.00","NEW TOWN","WEST BENGAL","700156"
