Pincode,Latitude,Longitude
440012,21.1374279,79.0815792
440013,21.177703,79.0440176
141007,30.9254676,75.8788052
141008,30.9309514,75.8388079
440014,21.1769217,79.0885363
141010,30.8924222,75.9071646
440019,21.101344,79.0136655
141012,30.8841659,75.7909553
141013,30.8677694,75.8306047
440020,21.1227137,79.0675461
743126,22.8626336,88.4062825
440024,21.0734143,78.9939776
440034,21.1018819,79.1192291
673509,11.7283792,75.6411516
481001,21.8051773,80.0342755
276207,25.991971,83.1058393
571124,12.167195,76.9119685
370421,22.8507789,69.7377192
395002,21.182291,72.8247673
395007,21.1696063,72.790097
501505,17.3246128,78.6174493
395009,21.2010555,72.7891241
395010,21.1996303,72.8740581
501510,17.2040662,78.4914863
534280,16.3642172,81.6335943
501512,17.2672084,78.6816614
522001,16.2995808,80.450901
522005,16.3050586,80.3725876
522006,16.3146153,80.4171497
522007,16.3096749,80.4268334
632602,12.9494176,78.8752164
272155,26.8273894,82.4605652
636701,12.1273856,78.1583802
673576,11.5496476,76.0349145
673580,11.4345019,76.0082779
522034,16.337556,80.4396134
141113,30.849198,76.081054
400097,19.1840934,72.8571915
673601,11.3088176,75.9187424
400102,19.1417231,72.8400549
673638,11.1489123,75.9641285
305001,26.4617102,74.6352367
247661,29.9710445,77.7987926
518002,15.805935,78.0434885
247667,29.8701962,77.8882353
821108,25.150573,83.7664797
522101,15.9425307,80.468003
735101,26.527051,88.7313606
133001,30.3417381,76.8504517
141201,30.7669588,75.8233674
243601,28.0150449,79.1350994
571301,12.1031028,76.6821169
743337,22.1715433,88.4200785
563114,12.9789501,78.1749286
690101,9.2445464,76.540194
563125,13.4815806,78.0340265
387002,22.6985479,72.85919
751005,20.3104119,85.8337523
600001,13.082461,80.2692083
600004,13.0380826,80.265311
600005,13.0594106,80.275825
391110,22.1448098,73.4023517
600007,12.7970348,80.0656835
600008,13.0717199,80.2588718
403401,15.4055352,73.9976931
751007,20.2883625,85.8505872
600011,13.10984,80.2439995
743368,22.2486086,88.1834988
391115,21.8879987,73.2792081
600014,13.0588533,80.264099
600016,13.0076805,80.1942419
600017,13.0425945,80.2346766
600018,13.0371057,80.2552123
600019,13.1652901,80.2951098
600020,12.9999007,80.2521988
825303,23.9860937,85.3916201
563160,12.9357482,77.9099602
522201,16.2537222,80.6437953
301019,28.2051792,76.829315
600028,13.0254663,80.2619427
600030,13.07706,80.2284565
